['2018-09-14 14:05:53', 'Friday', 'AAPL', 14, -2, 12, 40, 223.86]
['2018-09-14 14:06:55', 'Friday', 'AAPL', 14, -1, 13, 43, 223.82]
['2018-09-14 14:07:56', 'Friday', 'AAPL', 13, -1, 12, 40, 223.59]
['2018-09-14 14:08:58', 'Friday', 'AAPL', 12, -1, 11, 36, 223.54]
['2018-09-14 14:09:59', 'Friday', 'AAPL', 11, -1, 10, 33, 223.65]
['2018-09-14 14:11:02', 'Friday', 'AAPL', 11, -1, 10, 33, 223.64]
['2018-09-14 14:12:04', 'Friday', 'AAPL', 11, -1, 10, 33, 223.33]
['2018-09-14 14:13:05', 'Friday', 'AAPL', 12, -1, 11, 36, 223.43]
['2018-09-14 14:14:06', 'Friday', 'AAPL', 10, -1, 9, 30, 223.39]
['2018-09-14 14:15:08', 'Friday', 'AAPL', 10, -1, 9, 30, 223.42]
['2018-09-14 14:16:09', 'Friday', 'AAPL', 9, -1, 8, 26, 223.53]
['2018-09-14 14:17:11', 'Friday', 'AAPL', 9, -1, 8, 26, 223.56]
['2018-09-14 14:18:12', 'Friday', 'AAPL', 8, -2, 6, 20, 223.47]
['2018-09-14 14:19:13', 'Friday', 'AAPL', 8, -3, 5, 16, 223.39]
['2018-09-14 14:20:15', 'Friday', 'AAPL', 8, -3, 5, 16, 223.46]
['2018-09-14 14:21:16', 'Friday', 'AAPL', 8, -3, 5, 16, 223.43]
['2018-09-14 14:22:18', 'Friday', 'AAPL', 8, -3, 5, 16, 223.55]
['2018-09-14 14:23:19', 'Friday', 'AAPL', 8, -3, 5, 16, 223.56]
['2018-09-14 14:24:21', 'Friday', 'AAPL', 9, -3, 6, 20, 223.71]
['2018-09-14 14:25:22', 'Friday', 'AAPL', 9, -3, 6, 20, 223.74]
['2018-09-14 14:26:24', 'Friday', 'AAPL', 10, -2, 8, 26, 223.73]
['2018-09-14 14:27:25', 'Friday', 'AAPL', 10, -2, 8, 26, 223.77]
['2018-09-14 14:28:27', 'Friday', 'AAPL', 9, -2, 7, 23, 223.8]
['2018-09-14 14:29:28', 'Friday', 'AAPL', 8, -3, 5, 16, 223.76]
['2018-09-14 14:30:30', 'Friday', 'AAPL', 8, -3, 5, 16, 223.73]
['2018-09-14 14:31:31', 'Friday', 'AAPL', 7, -3, 4, 13, 223.65]
['2018-09-14 14:32:33', 'Friday', 'AAPL', 7, -3, 4, 13, 223.64]
['2018-09-14 14:33:34', 'Friday', 'AAPL', 7, -3, 4, 13, 223.75]
['2018-09-14 14:34:36', 'Friday', 'AAPL', 7, -4, 3, 10, 223.565]
['2018-09-14 14:35:37', 'Friday', 'AAPL', 8, -4, 4, 13, 223.66]
['2018-09-14 14:36:38', 'Friday', 'AAPL', 8, -4, 4, 13, 223.625]
['2018-09-14 14:37:41', 'Friday', 'AAPL', 8, -4, 4, 13, 223.62]
['2018-09-14 14:38:44', 'Friday', 'AAPL', 8, -4, 4, 13, 223.56]
['2018-09-14 14:39:45', 'Friday', 'AAPL', 8, -4, 4, 13, 223.56]
['2018-09-14 14:40:47', 'Friday', 'AAPL', 7, -4, 3, 10, 223.6]
['2018-09-14 14:41:48', 'Friday', 'AAPL', 7, -4, 3, 10, 223.61]
['2018-09-14 14:42:50', 'Friday', 'AAPL', 7, -4, 3, 10, 223.63]
['2018-09-14 14:43:51', 'Friday', 'AAPL', 8, -4, 4, 13, 223.59]
['2018-09-14 14:44:52', 'Friday', 'AAPL', 9, -4, 5, 16, 223.63]
['2018-09-14 14:45:54', 'Friday', 'AAPL', 9, -4, 5, 16, 223.56]
['2018-09-14 14:46:55', 'Friday', 'AAPL', 9, -4, 5, 16, 223.67]
['2018-09-14 14:47:57', 'Friday', 'AAPL', 9, -4, 5, 16, 223.65]
['2018-09-14 14:48:59', 'Friday', 'AAPL', 9, -4, 5, 16, 223.77]
['2018-09-14 14:50:01', 'Friday', 'AAPL', 9, -4, 5, 16, 223.88]
['2018-09-14 14:51:02', 'Friday', 'AAPL', 10, -3, 7, 23, 223.8]
['2018-09-14 14:52:04', 'Friday', 'AAPL', 10, -3, 7, 23, 223.83]
['2018-09-14 14:53:05', 'Friday', 'AAPL', 10, -3, 7, 23, 223.77]
['2018-09-14 14:54:06', 'Friday', 'AAPL', 10, -3, 7, 23, 223.84]
['2018-09-14 14:55:08', 'Friday', 'AAPL', 10, -3, 7, 23, 223.86]
['2018-09-14 14:56:09', 'Friday', 'AAPL', 12, -3, 9, 30, 223.8]
['2018-09-14 14:57:11', 'Friday', 'AAPL', 11, -3, 8, 26, 223.87]
['2018-09-14 14:58:12', 'Friday', 'AAPL', 11, -3, 8, 26, 223.81]
['2018-09-14 14:59:14', 'Friday', 'AAPL', 10, -3, 7, 23, 223.8]
['2018-09-14 15:00:15', 'Friday', 'AAPL', 9, -3, 6, 20, 223.83]
['2018-09-14 15:01:18', 'Friday', 'AAPL', 9, -3, 6, 20, 223.94]
['2018-09-14 15:02:22', 'Friday', 'AAPL', 9, -3, 6, 20, 223.9]
['2018-09-14 15:03:23', 'Friday', 'AAPL', 9, -3, 6, 20, 224]
['2018-09-14 15:04:25', 'Friday', 'AAPL', 10, -2, 8, 26, 223.91]
['2018-09-14 15:05:27', 'Friday', 'AAPL', 9, -2, 7, 23, 223.93]
['2018-09-14 15:06:28', 'Friday', 'AAPL', 10, -1, 9, 30, 223.92]
['2018-09-14 15:07:30', 'Friday', 'AAPL', 9, -2, 7, 23, 223.92]
['2018-09-14 15:08:31', 'Friday', 'AAPL', 9, -2, 7, 23, 223.9]
['2018-09-14 15:09:33', 'Friday', 'AAPL', 9, -2, 7, 23, 223.89]
['2018-09-14 15:10:35', 'Friday', 'AAPL', 9, -2, 7, 23, 223.84]
['2018-09-14 15:11:36', 'Friday', 'AAPL', 9, -2, 7, 23, 223.9]
['2018-09-14 15:12:37', 'Friday', 'AAPL', 9, -2, 7, 23, 223.91]
['2018-09-14 15:13:39', 'Friday', 'AAPL', 9, -2, 7, 23, 223.93]
['2018-09-14 15:14:41', 'Friday', 'AAPL', 9, -2, 7, 23, 223.94]
['2018-09-14 15:15:42', 'Friday', 'AAPL', 9, -2, 7, 23, 223.96]
['2018-09-14 15:16:44', 'Friday', 'AAPL', 8, -2, 6, 20, 223.875]
['2018-09-14 15:17:45', 'Friday', 'AAPL', 7, -2, 5, 16, 223.755]
['2018-09-14 15:18:47', 'Friday', 'AAPL', 7, -2, 5, 16, 223.77]
['2018-09-14 15:19:48', 'Friday', 'AAPL', 8, -2, 6, 20, 223.745]
['2018-09-14 15:20:50', 'Friday', 'AAPL', 8, -2, 6, 20, 223.64]
['2018-09-14 15:21:51', 'Friday', 'AAPL', 8, -2, 6, 20, 223.62]
['2018-09-14 15:22:52', 'Friday', 'AAPL', 8, -2, 6, 20, 223.61]
['2018-09-14 15:23:54', 'Friday', 'AAPL', 8, -2, 6, 20, 223.46]
['2018-09-14 15:24:55', 'Friday', 'AAPL', 8, -2, 6, 20, 223.52]
['2018-09-14 15:25:57', 'Friday', 'AAPL', 8, -2, 6, 20, 223.39]
['2018-09-14 15:26:58', 'Friday', 'AAPL', 8, -2, 6, 20, 223.5]
['2018-09-14 15:28:00', 'Friday', 'AAPL', 8, -2, 6, 20, 223.43]
['2018-09-14 15:29:01', 'Friday', 'AAPL', 7, -2, 5, 16, 223.59]
['2018-09-14 15:30:05', 'Friday', 'AAPL', 7, -2, 5, 16, 223.6]
['2018-09-14 15:31:07', 'Friday', 'AAPL', 7, -1, 6, 20, 223.74]
['2018-09-14 15:32:09', 'Friday', 'AAPL', 5, -1, 4, 13, 223.705]
['2018-09-14 15:33:10', 'Friday', 'AAPL', 4, -2, 2, 6, 223.7]
['2018-09-14 15:34:12', 'Friday', 'AAPL', 5, -2, 3, 10, 223.73]
['2018-09-14 15:35:14', 'Friday', 'AAPL', 5, -2, 3, 10, 223.65]
['2018-09-14 15:36:15', 'Friday', 'AAPL', 4, -3, 1, 3, 223.645]
['2018-09-14 15:37:17', 'Friday', 'AAPL', 4, -3, 1, 3, 223.62]
['2018-09-14 15:38:18', 'Friday', 'AAPL', 5, -2, 3, 10, 223.63]
['2018-09-14 15:39:20', 'Friday', 'AAPL', 5, -2, 3, 10, 223.6]
['2018-09-14 15:40:21', 'Friday', 'AAPL', 5, -2, 3, 10, 223.72]
['2018-09-14 15:41:22', 'Friday', 'AAPL', 7, -2, 5, 16, 223.735]
['2018-09-14 15:42:24', 'Friday', 'AAPL', 7, -2, 5, 16, 223.65]
['2018-09-14 15:43:25', 'Friday', 'AAPL', 8, -3, 5, 16, 223.68]
['2018-09-14 15:44:27', 'Friday', 'AAPL', 8, -3, 5, 16, 223.67]
['2018-09-14 15:45:28', 'Friday', 'AAPL', 9, -3, 6, 20, 223.75]
['2018-09-14 15:46:30', 'Friday', 'AAPL', 11, -3, 8, 26, 223.76]
['2018-09-14 15:47:31', 'Friday', 'AAPL', 12, -3, 9, 30, 223.74]
['2018-09-14 15:48:33', 'Friday', 'AAPL', 12, -3, 9, 30, 223.755]
['2018-09-14 15:49:36', 'Friday', 'AAPL', 12, -3, 9, 30, 223.75]
['2018-09-14 15:50:37', 'Friday', 'AAPL', 12, -3, 9, 30, 223.81]
['2018-09-14 15:51:38', 'Friday', 'AAPL', 12, -3, 9, 30, 223.795]
['2018-09-14 15:52:40', 'Friday', 'AAPL', 12, -3, 9, 30, 223.92]
['2018-09-14 15:53:41', 'Friday', 'AAPL', 12, -3, 9, 30, 223.86]
['2018-09-14 15:54:44', 'Friday', 'AAPL', 12, -3, 9, 30, 223.83]
