['time stamp', 'Stock Symbol', 'sentiment ratio', 'stock price (current)']
['2018-09-12 08:22:53', 'AMD', 40, 30.1]
['2018-09-12 08:23:54', 'AMD', 50, 30.1]
['2018-09-12 08:24:55', 'AMD', 53, 30.1]
['2018-09-12 08:25:55', 'AMD', 53, 30.1]
['2018-09-12 08:26:56', 'AMD', 56, 30.1]
['2018-09-12 08:27:57', 'AMD', 56, 30.1]
['2018-09-12 08:28:58', 'AMD', 60, 30.1]
['2018-09-12 08:29:58', 'AMD', 53, 30.1]
['2018-09-12 08:30:59', 'AMD', 50, 30.1]
['2018-09-12 08:32:00', 'AMD', 50, 30.1]
['2018-09-12 08:33:01', 'AMD', 43, 30.1]
['2018-09-12 08:34:02', 'AMD', 40, 30.1]
['2018-09-12 08:35:03', 'AMD', 33, 30.1]
['2018-09-12 08:36:03', 'AMD', 30, 30.1]
['2018-09-12 08:37:04', 'AMD', 23, 30.1]
['2018-09-12 08:38:05', 'AMD', 33, 30.1]
['2018-09-12 08:39:06', 'AMD', 33, 30.1]
['2018-09-12 08:40:06', 'AMD', 26, 30.1]
['2018-09-12 08:41:07', 'AMD', 26, 30.1]
['2018-09-12 08:42:08', 'AMD', 33, 30.1]
['2018-09-12 08:43:09', 'AMD', 33, 30.1]
['2018-09-12 08:44:09', 'AMD', 36, 30.1]
['2018-09-12 08:45:10', 'AMD', 36, 30.1]
['2018-09-12 08:46:11', 'AMD', 36, 30.1]
['2018-09-12 08:47:12', 'AMD', 30, 30.1]
['2018-09-12 08:48:13', 'AMD', 23, 30.1]
['2018-09-12 08:49:13', 'AMD', 26, 30.1]
['2018-09-12 08:50:14', 'AMD', 30, 30.1]
['2018-09-12 08:51:15', 'AMD', 23, 30.1]
['2018-09-12 08:52:16', 'AMD', 23, 30.1]
['2018-09-12 08:53:16', 'AMD', 23, 30.1]
['2018-09-12 08:54:17', 'AMD', 16, 30.1]
['2018-09-12 08:55:18', 'AMD', 16, 30.1]
['2018-09-12 08:56:19', 'AMD', 16, 30.1]
['2018-09-12 08:57:20', 'AMD', 13, 30.1]
['2018-09-12 08:58:20', 'AMD', 20, 30.1]
['2018-09-12 08:59:22', 'AMD', 16, 30.1]
['2018-09-12 09:00:22', 'AMD', 16, 30.1]
['2018-09-12 09:01:23', 'AMD', 23, 30.1]
['2018-09-12 09:02:24', 'AMD', 20, 30.1]
['2018-09-12 09:03:25', 'AMD', 20, 30.1]
['2018-09-12 09:04:26', 'AMD', 20, 30.1]
['2018-09-12 09:05:27', 'AMD', 23, 30.1]
['2018-09-12 09:06:28', 'AMD', 23, 29.9]
['2018-09-12 09:07:29', 'AMD', 26, 29.9]
['2018-09-12 09:08:29', 'AMD', 23, 29.9]
['2018-09-12 09:09:30', 'AMD', 30, 29.9]
['2018-09-12 09:10:31', 'AMD', 26, 29.9]
['2018-09-12 09:11:32', 'AMD', 33, 29.9]
['2018-09-12 09:12:33', 'AMD', 36, 29.9]
['2018-09-12 09:13:34', 'AMD', 36, 29.9]
['2018-09-12 09:14:35', 'AMD', 36, 29.9]
['2018-09-12 09:15:35', 'AMD', 43, 29.9]
['2018-09-12 09:16:36', 'AMD', 43, 29.9]
['2018-09-12 09:17:37', 'AMD', 46, 29.9]
['2018-09-12 09:18:38', 'AMD', 36, 29.9]
['2018-09-12 09:19:39', 'AMD', 43, 29.9]
['2018-09-12 09:20:39', 'AMD', 46, 29.9]
['2018-09-12 09:21:40', 'AMD', 56, 29.9]
['2018-09-12 09:22:41', 'AMD', 60, 29.9]
['2018-09-12 09:23:42', 'AMD', 60, 29.9]
['2018-09-12 09:24:43', 'AMD', 56, 29.9]
['2018-09-12 09:25:43', 'AMD', 60, 29.9]
['2018-09-12 09:26:44', 'AMD', 56, 29.9]
